Topology: 2 4 2
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 0.00000 1.00000
o: 1.00000 0.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 0.00000 0.00000
o: 0.00000 0.00000
i: 1.00000 1.00000
o: 0.00000 1.00000
i: 1.00000 0.00000
o: 1.00000 0.00000
i: 0.00000 0.00000
